 9510000001092 At_O2      12684.760 0.000 1.095e-02  1.000  9510000000000   1   1.00
 9510000001093 At_O2      12684.100 0.000 3.242e-03  1.000  9510000000000   1   1.00
 9510000001094 At_O2      12683.929 0.000 9.309e-03  1.000  9510000000000   1   1.00
 9510000001095 At_O2      12683.875 0.000 2.029e-03  1.000  9510000000000   1   1.00
 9510000001097 At_O2      12683.354 0.000 6.003e-03  1.000  9510000000000   1   1.00
 9510000001098 At_O2      12682.717 0.000 3.756e-03  1.000  9510000000000   1   1.00
 9510000001099 At_O2      12682.565 0.000 2.125e-03  1.000  9510000000000   1   1.00
 9510000001100 At_O2      12681.584 0.000 4.045e-03  1.000  9510000000000   1   1.00
 9510000001101 At_O2      12681.516 0.000 1.958e-03  1.000  9510000000000   1   1.00
 9510000001102 At_O2      12680.731 0.000 1.486e-03  1.000  9510000000000   1   1.00
 9510000001103 At_O2      12680.693 0.000 4.013e-03  1.000  9510000000000   1   1.00
 9510000001104 At_O2      12680.218 0.000 7.447e-04  1.000  9510000000000   1   1.00
 9510000001105 At_O2      12680.001 0.000 3.724e-03  1.000  9510000000000   1   1.00
 9510000001106 At_O2      12673.916 0.000 6.613e-03  1.000  9510000000000   1   1.00
 9510000001108 At_O2      12670.901 0.000 1.708e-03  1.000  9510000000000   1   1.00
 9510000001110 At_O2      12665.131 0.000 7.704e-03  1.000  9510000000000   1   1.00
 9510000001111 At_O2      12662.003 0.000 4.013e-03  1.000  9510000000000   1   1.00
 9510000001113 At_O2      12657.255 0.000 3.435e-03  1.000  9510000000000   1   1.00
 9510000001115 At_O2      12656.615 0.000 8.442e-03  1.000  9510000000000   1   1.00
 9510000001116 At_O2      12653.431 0.000 5.489e-03  1.000  9510000000000   1   1.00
 9510000001118 At_O2      12648.370 0.000 8.507e-03  1.000  9510000000000   1   1.00
 9510000001120 At_O2      12645.145 0.000 6.163e-03  1.000  9510000000000   1   1.00
 9510000001122 At_O2      12640.397 0.000 7.865e-03  1.000  9510000000000   1   1.00
 9510000001123 At_O2      12639.310 0.000 4.173e-03  1.000  9510000000000   1   1.00
 9510000001126 At_O2      12637.138 0.000 6.099e-03  1.000  9510000000000   1   1.00
 9510000001127 At_O2      12632.697 0.000 6.741e-03  1.000  9510000000000   1   1.00
 9510000001129 At_O2      12629.407 0.000 5.457e-03  1.000  9510000000000   1   1.00
 9510000001131 At_O2      12625.271 0.000 5.361e-03  1.000  9510000000000   1   1.00
 9510000001133 At_O2      12621.952 0.000 4.494e-03  1.000  9510000000000   1   1.00
 9510000001134 At_O2      12621.731 0.000 4.558e-03  1.000  9510000000000   1   1.00
 9510000001135 At_O2      12618.121 0.000 4.013e-03  1.000  9510000000000   1   1.00
 9510000001137 At_O2      12614.775 0.000 3.435e-03  1.000  9510000000000   1   1.00
 9510000001139 At_O2      12611.249 0.000 2.789e-03  1.000  9510000000000   1   1.00
 9510000001142 At_O2      12607.877 0.000 2.430e-03  1.000  9510000000000   1   1.00
 9510000001143 At_O2      12604.658 0.000 1.820e-03  1.000  9510000000000   1   1.00
 9510000001144 At_O2      12604.480 0.000 4.558e-03  1.000  9510000000000   1   1.00
 9510000001146 At_O2      12601.259 0.000 1.611e-03  1.000  9510000000000   1   1.00
 9510000001147 At_O2      12598.348 0.000 1.117e-03  1.000  9510000000000   1   1.00
 9510000001150 At_O2      12594.924 0.000 9.983e-04  1.000  9510000000000   1   1.00
