   1 iwr_phyat I4 ; =0 --> .res, =1 --> .res and WILL CHANGE liste_phyat
 13.00 vzero km/s E6.  CAUTION: CHECK OUTPUT .res  BEFORE USING OPTION iwr_phyat=1
liste_phyat_rec.dat           A30 
outputcond.dat                A30 
0=no,1=yes y/n Te     Ne     Ionab   NOTE: HI must be the 1st ion
HI      1 1.00e+04 1.00e+02 1.00e+00
DI      1 1.00e+04 1.00e+02 1.00e-05
HeI     1 1.00e+04 1.00e+02 7.89e-02
HeII    1 1.00e+04 1.00e+02 3.32e-05
3HeI    1 1.00e+04 1.00e+02 9.29e-13
3HeII   1 1.00e+04 1.00e+02 3.91e-16
LiI     1 1.00e+04 1.00e+02 1.82e-09
LiII    1 1.00e+04 1.00e+02 4.12e-15
LiIII   1 1.00e+04 1.00e+02 2.94e-25
CI      1 1.00e+04 1.00e+02 1.09e-04
CII     1 1.00e+04 1.00e+02 1.57e-04
CIII    1 1.00e+04 1.00e+02 2.53e-06
CIV     1 1.00e+04 1.00e+02 3.82e-10
NI      1 1.00e+04 1.00e+02 3.61e-05
NII     1 1.00e+04 1.00e+02 2.61e-05
NIII    1 1.00e+04 1.00e+02 7.95e-07
NIV     1 1.00e+04 1.00e+02 1.67e-12
NV      1 1.00e+04 1.00e+02 7.18e-20
OI      1 1.00e+04 1.00e+02 2.56e-04
OII     1 1.00e+04 1.00e+02 1.79e-04
OIII    1 1.00e+04 1.00e+02 4.73e-08
OIV     1 1.00e+04 1.00e+02 1.30e-12
OV      1 1.00e+04 1.00e+02 0.00e+00
OVI     1 1.00e+04 1.00e+02 0.00e+00
NeI     1 1.00e+04 1.00e+02 2.80e-05
NeII    1 1.00e+04 1.00e+02 5.61e-05
NeIII   1 1.00e+04 1.00e+02 1.33e-09
NeIV    1 1.00e+04 1.00e+02 2.58e-16
NeV     1 1.00e+04 1.00e+02 0.00e+00
NeVI    1 1.00e+04 1.00e+02 0.00e+00
NeVII   1 1.00e+04 1.00e+02 0.00e+00
NeVIII  1 1.00e+04 1.00e+02 0.00e+00
MgI     1 1.00e+04 1.00e+02 1.26e-05
MgII    1 1.00e+04 1.00e+02 2.07e-05
MgIII   1 1.00e+04 1.00e+02 5.26e-11
MgIV    1 1.00e+04 1.00e+02 5.42e-19
MgV     1 1.00e+04 1.00e+02 0.00e+00
MgVI    1 1.00e+04 1.00e+02 0.00e+00
MgVII   1 1.00e+04 1.00e+02 0.00e+00
MgVIII  1 1.00e+04 1.00e+02 0.00e+00
SiI     1 1.00e+04 1.00e+02 1.44e-05
SiII    1 1.00e+04 1.00e+02 1.69e-05
SiIII   1 1.00e+04 1.00e+02 9.72e-07
SiIV    1 1.00e+04 1.00e+02 5.87e-08
SiV     1 1.00e+04 1.00e+02 4.69e-20
SiVI    1 1.00e+04 1.00e+02 0.00e+00
SiVII   1 1.00e+04 1.00e+02 0.00e+00
SI      1 1.00e+04 1.00e+02 4.58e-06
SII     1 1.00e+04 1.00e+02 9.14e-06
SIII    1 1.00e+04 1.00e+02 3.92e-07
SIV     1 1.00e+04 1.00e+02 4.34e-09
SV      1 1.00e+04 1.00e+02 4.15e-14
SVI     1 1.00e+04 1.00e+02 0.00e+00
SVII    1 1.00e+04 1.00e+02 0.00e+00
