  0    0      3000.        5000.        8000.       10000.       15000.       18000.       20000.
  1    2   4.90759E+00  4.57826E+00  4.24461E+00  4.04563E+00  3.62242E+00  3.42949E+00  3.30991E+00
  1    3   7.24569E+00  6.78550E+00  6.30539E+00  6.01776E+00  5.39625E+00  5.10794E+00  4.94460E+00
  1    4   4.70829E+00  5.01235E+00  5.46299E+00  5.73540E+00  6.31523E+00  6.59403E+00  6.75050E+00
  1    5   9.38862E+00  1.00493E+01  1.09757E+01  1.15237E+01  1.26703E+01  1.32111E+01  1.35157E+01
  1    6   2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00
  2    3   1.55688E+01  1.52960E+01  1.51461E+01  1.49873E+01  1.44181E+01  1.40423E+01  1.37815E+01
  2    4   1.12959E+01  1.18809E+01  1.26265E+01  1.30336E+01  1.38098E+01  1.41422E+01  1.43206E+01
  2    5   4.82313E+00  5.03889E+00  5.30774E+00  5.43369E+00  5.60231E+00  5.63393E+00  5.63843E+00
  2    6   2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00
  3    4   2.39216E+00  2.36480E+00  2.40485E+00  2.42406E+00  2.41210E+00  2.38691E+00  2.36062E+00
  3    5   2.20488E+01  2.32334E+01  2.46869E+01  2.54591E+01  2.68789E+01  2.74682E+01  2.77737E+01
  3    6   3.00000E+00  3.00000E+00  3.00000E+00  3.00000E+00  3.00000E+00  3.00000E+00  3.00000E+00
  4    5   5.26873E+00  5.27980E+00  5.36795E+00  5.42694E+00  5.51630E+00  5.53061E+00  5.53091E+00
  4    6   5.00000E+00  5.00000E+00  5.00000E+00  5.00000E+00  5.00000E+00  5.00000E+00  5.00000E+00
  5    6   1.00000E+01  1.00000E+01  1.00000E+01  1.00000E+01  1.00000E+01  1.00000E+01  1.00000E+01
*** Ca II       'Effective collision strengths data'
*** ATOM 'calcium'
*** SPECTRUM 2
*** N_LEVELS 6
*** T_UNIT	'K' 
*** SOURCE1	'Melendez, M. et al. 2007, Astron. Astrophys. 469, 1203'
*** NOTE1 	'Effective Collision Strengths Omega' 
*** NOTE2 	'DP: transitions involving level 6: arbitrary Omega values' 
*** GSCONFIG s1
