0 0 2.000e-01 1.000e+00 2.000e+00
1 2 3.000e+00 5.000e+00 7.000e+00
1 3 3.000e+00 5.000e+00 7.000e+00
1 4 3.000e+00 5.000e+00 7.000e+00
1 5 3.000e+00 5.000e+00 7.000e+00
1 6 3.000e+00 5.000e+00 7.000e+00
1 7 5.000e+00 7.000e+00 9.000e+00
1 8 3.000e+00 5.000e+00 7.000e+00
1 9 1.500e+01 2.000e+01 2.500e+01
2 3 3.000e+00 5.000e+00 7.000e+00
2 4 3.000e+00 5.000e+00 7.000e+00
2 5 3.000e+00 5.000e+00 7.000e+00
2 6 5.000e+00 7.000e+00 9.000e+00
2 7 5.000e+00 7.000e+00 9.000e+00
2 8 4.000e+00 6.000e+00 8.000e+00
2 9 4.000e+00 6.000e+00 8.000e+00
3 4 3.000e+00 5.000e+00 7.000e+00
3 5 3.000e+00 5.000e+00 7.000e+00
3 6 3.000e+00 5.000e+00 7.000e+00
3 7 5.000e+00 7.000e+00 9.000e+00
3 8 5.000e+00 7.000e+00 9.000e+00
3 9 5.000e+00 7.000e+00 9.000e+00
4 5 3.000e+00 5.000e+00 7.000e+00
4 6 3.000e+00 5.000e+00 7.000e+00
4 7 3.000e+00 5.000e+00 7.000e+00
4 8 5.000e+00 7.000e+00 9.000e+00
4 9 3.000e+00 5.000e+00 7.000e+00
5 6 3.000e+00 5.000e+00 7.000e+00
5 7 4.000e+00 6.000e+00 8.000e+00
5 8 4.000e+00 6.000e+00 8.000e+00
5 9 5.000e+00 7.000e+00 9.000e+00
6 7 3.000e+00 5.000e+00 7.000e+00
6 8 3.000e+00 5.000e+00 7.000e+00
6 9 3.000e+00 5.000e+00 7.000e+00
7 8 3.000e+00 5.000e+00 7.000e+00
7 9 3.000e+00 5.000e+00 7.000e+00
8 9 3.000e+00 5.000e+00 7.000e+00
*** Ba I        'Effective collision strengths data'
*** ATOM 'barium'
*** SPECTRUM 1
*** N_LEVELS 9
*** T_UNIT	'K/10000' 
*** SOURCE1	'DP: arbitrary' 
*** NOTE1 	'Effective Collision Strengths Omega' 
*** GSCONFIG 6s2
