   0   0  1.0e4   1.0e5
   1   2   1.50    1.00
   1   3   4.00    3.00
   1   4   0.50    0.50
   1   5   0.20    0.20
   1   6   0.50    0.50
   1   7   1.40    1.80
   1   8   1.20    1.30
   1   9   0.20    0.20
   2   3   3.50    3.00
   2   4   0.30    0.40
   2   5   0.30    0.30
   2   6   0.60    0.60
   2   7   0.30    0.50
   2   8   0.80    0.80
   2   9   0.10    0.10
   3   4   0.70    0.90
   3   5   0.20    0.20
   3   6   0.80    0.80
   3   7   0.70    0.90
   3   8   1.10    1.10
   3   9   0.10    0.10
   4   5   0.20    0.30
   4   6   1.00    1.00
   4   7   0.90    0.90
   4   8   1.00    1.00
   4   9   0.20    0.20
   5   6   0.40    0.40
   5   7   0.20    0.20
   5   8   0.10    0.10
   5   9   0.03    0.03
   6   7   0.50    0.50
   6   8   0.40    0.40
   6   9   0.20    0.20
   7   8   1.50    1.50
   7   9   0.10    0.10
   8   9   0.40    0.40
*** Xe XI       'Effective collision strengths'
*** ATOM        'xenon'
*** SPECTRUM 11
*** N_LEVELS 2
*** T_UNIT	'K' 
*** SOURCE1	'DP: Omega arbitrary; inspired by Fe VII' 
*** NOTE1 	'Effective Collision Strengths Omega' 
*** GSCONFIG d9
