Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
  5761.100   4  1.720E+00  0.000E+00
*** Sc IX       'Energy and transition probability data'
*** SOURCE1	'Sugar, J. & Corliss, C. 1985, J. Phys. Chem. Ref. Data 14, Suppl. 2, 1'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Martin J. A. et al. 1988, JPCRD 17, Suppl. 3; see Froese 06'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
