Energy Stat_Weight Aij
      cm-1    none  1/s      1/s
       0.000    6  0.00E-0  0.00E-0
    4000.000    8  1.00E-0  0.00E-0
*** Nd VI       'Energy and transition probability data'
*** N_LEVELS 2
*** SOURCE1	'DP: tentative extrapolation E'
*** NOTE1 	'Energy levels, E: 5p6.4f 2F*'
*** SOURCE2	'DP: Aij arbitrary' 
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 4f
