Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
  2207.880   4  9.700E-02  0.000E+00
*** Ar VI       'Energy and transition probability data'
*** SOURCE1	'Saloman, E. B. 2010, J. Phys. Chem. Ref. Data 39, 033101'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Fuhr, J. R. & Wiese, W. L. 2005, NIST; *see E. FroeseF 2006'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
