Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
 39483.000   4  5.530E+02  0.000E+00
*** Zn XVIII    'Energy and transition probability data'
*** SOURCE1	'Sugar, J. & Musgrove, A. 1995, J. Phys. Chem. Ref. Data  24, 1803'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Si, R., Zhang, C. Y. et al. 2017, JQSRT 189, 249'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
