Energy Stat_Weight Aij 
     cm-1       none  1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s    
     0.00000000    1  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     840.198000    3  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     1045.07600    5  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     1449.75200    7  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     3296.18000    5  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     8003.12600    5  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     8328.03900    7  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     8743.32200    9  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
z3P* 23445.0630    1  0.000E0  3.071E7  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     23776.2450    3  0.000E0  0.000E0  6.168E7  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
     24647.1210    5  0.000E0  0.000E0  0.000E0  1.160E8  0.000E0  0.000E0  0.000E0  0.000E0
z1D* 26147.2520    5  0.000E0  0.000E0  1.151E8  0.000E0  6.757E8  0.000E0  0.000E0  0.000E0
z3F* 27227.0270    5  0.000E0  5.522E8  7.773E7  0.000E0  1.841E8  8.442E7  0.000E0  0.000E0
z1P* 27516.6990    1  3.405E8  5.377E7  6.867E7  4.091E7  0.000E0  0.000E0  0.000E0  0.000E0
z3F* 27532.3210    1  0.000E0  0.000E0  9.246E8  2.069E8  0.000E0  0.000E0  1.307E8  0.000E0
     28394.1770    3  0.000E0  0.000E0  0.000E0  1.550E9  0.000E0  1.794E8  0.000E0  0.000E0
z3D* 28595.2850    3  1.063E0  3.666E0  1.002E0  0.000E0  0.000E0  1.533E0  0.000E0  0.000E0
     28730.0100    5  0.000E0  1.978E8  5.692E8  1.946E8  0.000E0  0.000E0  2.954E8  0.000E0
     29213.9580    7  0.000E0  0.000E0  2.703e8  1.117e9  0.000E0  0.000E0  0.000E0  4.305E8
*** Y II        'Energy and transition probability data'
*** N_LEVELS 19
*** NOTE0 	'Iso Sr' 
*** SOURCE1	'Nilsson, A. E. et al. 1991, Phys. Scr. 44, 226' 
*** NOTE1 	'Energy levels 1S, 3D, 1D, 3F, (3P), (b1D), (1G), z3P*,(1S), z1D*, z3F*, z1P*, z3D* (partial: only permitted transitions)' 
*** SOURCE2	'Biémont, E. et al. 2011, MNRAS 414, 3350' 
*** NOTE2	'Transition Probabilities; permitted lines only'
*** NOTE3	'ATT: Aij lev 2 to 14 lacking'
*** 25 ** 6 not used:
*     13883.3790    1  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
*     14018.2670    3  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
*     14098.0760    5  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
*     14832.8620    5  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
*     15682.9050    9  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0
*     25070.2550    1  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0  0.000E0


