Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
   559.140   4  1.570E-03  0.000E+00
*** P III       'Energy and transition probability data'
*** SOURCE1	'Reader, J. et al. 1980, NIST'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Fuhr, J. R. & Wiese, W. L. 2005, NIST; see E. FroeseF 2006'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
