Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
  1490.500   4  2.980E-02  0.000E+00
*** Cl V        'Energy and transition probability data'
*** SOURCE1	'Reader, J. et al. 1980, NIST'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Kaufman, V. & Sugar, J. 1986, J. Phys. Chem. Ref. Data 15, 321; see E. Träbert 2012; FroeseF06'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
