Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
 33239.000   4  3.300E+02  0.000E+00
*** Cu XVII     'Energy and transition probability data'
*** SOURCE1	'Sugar, J. & Musgrove, A. 1990, J. Phys. Chem. Ref. Data 19, 527'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Fuhr, J. R. & Wiese, W. L. 2005, in CRC Handbook of Chemistry and Physics, 86th Edition, 10-93'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
