Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   4  0.000E+00  0.000E+00
 1431.5831   2  5.300e-02  0.000E+00
*** Ar II       'Energy and transition probability data'
*** SOURCE1	'Saloman, E. B. 2010, J. Phys. Chem. Ref. Data 39, 033101'
*** NOTE1 	'Energy levels 3s2.3p5 2P*'
*** SOURCE2	'Wiese, W. L. et al. 1969, NIST'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p5
