Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   4  0.000E+00  0.000E+00
 28560.000   2  4.190e+02  0.000E+00
*** Cu XIII     'Energy and transition probability data'
*** SOURCE1	'Shirai, T. et al. 2000, J. Phys. Chem. Ref. Data, Monograph No. 8'
*** NOTE1 	'Energy levels 3s2.3p5 2P*'
*** SOURCE2	'Fuhr, J. R. & Wiese, W. L. 2005, NIST'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p5
