  2 15 7.82E-01 7.43E-01 6.87E-01 6.31E-01 5.51E-01 4.96E-01 4.49E-01 3.77E-01 3.02E-01 2.22E-01
  2 16 6.65E-01 6.10E-01 5.81E-01 5.45E-01 4.73E-01 4.22E-01 3.82E-01 3.25E-01 2.64E-01 1.95E-01
  2 17 5.19E-01 4.55E-01 4.12E-01 3.78E-01 3.30E-01 2.96E-01 2.67E-01 2.22E-01 1.78E-01 1.30E-01
  2 18 4.04E-01 6.83E-01 9.37E-01 1.00E+00 8.28E-01 6.15E-01 4.24E-01 2.46E-01 1.59E-01 9.96E-02
  2 19 7.47E-02 6.98E-02 5.34E-02 3.63E-02 1.98E-02 1.20E-02 6.92E-03 3.18E-03 1.72E-03 9.20E-04
  2 20 3.07E-01 3.51E-01 3.70E-01 3.55E-01 3.02E-01 2.61E-01 2.29E-01 1.89E-01 1.51E-01 1.11E-01
  2 21 1.43E-01 1.62E-01 1.79E-01 1.80E-01 1.60E-01 1.44E-01 1.30E-01 1.11E-01 8.98E-02 6.66E-02
  2 22 3.43E-01 4.13E-01 4.54E-01 4.49E-01 3.94E-01 3.49E-01 3.12E-01 2.62E-01 2.11E-01 1.56E-01
  2 23 3.74E-02 4.03E-02 4.25E-02 3.87E-02 2.74E-02 1.86E-02 1.17E-02 5.86E-03 3.37E-03 1.92E-03
  2 24 5.67E-03 1.01E-02 1.11E-02 9.54E-03 6.31E-03 4.23E-03 2.68E-03 1.38E-03 8.21E-04 4.80E-04
  2 25 4.11E-02 4.35E-02 3.90E-02 3.14E-02 2.02E-02 1.33E-02 8.26E-03 4.12E-03 2.39E-03 1.38E-03
  3  4 1.00E+00 1.19E+00 1.37E+00 1.41E+00 1.20E+00 9.82E-01 8.15E-01 6.65E-01 5.53E-01 4.36E-01
  3  5 2.96E-01 3.18E-01 3.50E-01 3.55E-01 2.87E-01 2.21E-01 1.71E-01 1.38E-01 1.31E-01 1.31E-01
  3  6 6.69E-01 5.48E-01 4.39E-01 3.40E-01 2.34E-01 1.76E-01 1.37E-01 1.01E-01 7.70E-02 5.51E-02
  3  7 4.22E-01 3.44E-01 2.90E-01 2.44E-01 1.88E-01 1.56E-01 1.32E-01 1.07E-01 8.55E-02 6.29E-02
  3  8 1.47E-01 1.18E-01 1.02E-01 8.82E-02 7.11E-02 6.09E-02 5.35E-02 4.47E-02 3.62E-02 2.68E-02
  3  9 2.51E-01 2.24E-01 2.12E-01 2.06E-01 1.96E-01 1.86E-01 1.73E-01 1.47E-01 1.18E-01 8.63E-02
  3 10 4.52E-01 4.44E-01 4.36E-01 4.20E-01 3.84E-01 3.54E-01 3.24E-01 2.72E-01 2.17E-01 1.59E-01
  3 11 5.03E-01 5.10E-01 5.09E-01 5.02E-01 4.73E-01 4.43E-01 4.11E-01 3.48E-01 2.78E-01 2.03E-01
  3 12 3.64E-01 3.24E-01 3.16E-01 3.01E-01 2.57E-01 2.21E-01 1.90E-01 1.52E-01 1.19E-01 8.59E-02
  3 13 4.05E-01 3.98E-01 4.04E-01 3.87E-01 3.26E-01 2.79E-01 2.42E-01 1.98E-01 1.58E-01 1.16E-01
  3 14 3.44E-01 3.57E-01 3.65E-01 3.52E-01 3.04E-01 2.66E-01 2.33E-01 1.92E-01 1.54E-01 1.13E-01
  3 15 3.50E-01 3.40E-01 3.10E-01 2.80E-01 2.43E-01 2.19E-01 1.97E-01 1.64E-01 1.31E-01 9.52E-02
  3 16 5.65E-01 5.12E-01 4.76E-01 4.44E-01 3.91E-01 3.53E-01 3.22E-01 2.73E-01 2.20E-01 1.63E-01
  3 17 5.65E-01 5.07E-01 4.76E-01 4.48E-01 3.97E-01 3.60E-01 3.28E-01 2.78E-01 2.24E-01 1.65E-01
  3 18 2.87E-01 4.89E-01 6.68E-01 7.10E-01 5.83E-01 4.33E-01 2.98E-01 1.74E-01 1.12E-01 7.03E-02
  3 19 1.52E-02 1.95E-02 1.68E-02 1.26E-02 7.62E-03 4.89E-03 2.95E-03 1.39E-03 7.59E-04 4.09E-04
  3 20 2.16E-01 2.61E-01 2.81E-01 2.71E-01 2.30E-01 1.99E-01 1.74E-01 1.44E-01 1.16E-01 8.57E-02
  3 21 1.62E-01 1.85E-01 1.96E-01 1.86E-01 1.56E-01 1.35E-01 1.19E-01 9.99E-02 8.09E-02 5.99E-02
  3 22 2.06E-01 2.38E-01 2.61E-01 2.62E-01 2.36E-01 2.12E-01 1.90E-01 1.59E-01 1.27E-01 9.36E-02
  3 23 3.02E-02 3.28E-02 3.45E-02 3.15E-02 2.23E-02 1.52E-02 9.59E-03 4.88E-03 2.86E-03 1.66E-03
  3 24 3.88E-03 8.45E-03 1.01E-02 9.06E-03 6.06E-03 4.01E-03 2.48E-03 1.23E-03 7.13E-04 4.09E-04
  3 25 4.45E-02 4.60E-02 4.06E-02 3.22E-02 2.04E-02 1.33E-02 8.11E-03 4.00E-03 2.30E-03 1.31E-03
  4  5 3.78E-01 4.42E-01 5.04E-01 5.20E-01 4.56E-01 3.88E-01 3.35E-01 2.83E-01 2.33E-01 1.75E-01
  4  6 4.44E-01 3.38E-01 2.59E-01 1.93E-01 1.24E-01 8.75E-02 6.29E-02 4.24E-02 3.09E-02 2.15E-02
  4  7 3.23E-01 2.54E-01 2.10E-01 1.74E-01 1.34E-01 1.12E-01 9.54E-02 7.74E-02 6.18E-02 4.54E-02
  4  8 1.11E-01 9.20E-02 7.99E-02 6.83E-02 5.44E-02 4.66E-02 4.10E-02 3.42E-02 2.75E-02 2.02E-02
  4  9 5.85E-02 5.07E-02 4.76E-02 4.58E-02 4.27E-02 3.97E-02 3.63E-02 3.02E-02 2.38E-02 1.72E-02
  4 10 2.51E-01 2.36E-01 2.27E-01 2.22E-01 2.10E-01 1.98E-01 1.85E-01 1.57E-01 1.26E-01 9.20E-02
  4 11 3.35E-01 3.42E-01 3.39E-01 3.28E-01 2.98E-01 2.73E-01 2.49E-01 2.08E-01 1.66E-01 1.21E-01
  4 12 2.41E-01 2.10E-01 2.00E-01 1.89E-01 1.65E-01 1.46E-01 1.29E-01 1.04E-01 8.19E-02 5.93E-02
  4 13 2.36E-01 2.34E-01 2.41E-01 2.36E-01 2.05E-01 1.77E-01 1.54E-01 1.25E-01 9.91E-02 7.22E-02
  4 14 2.50E-01 2.65E-01 2.74E-01 2.62E-01 2.20E-01 1.89E-01 1.66E-01 1.38E-01 1.11E-01 8.21E-02
  4 15 1.22E-01 1.21E-01 1.11E-01 9.94E-02 8.54E-02 7.63E-02 6.83E-02 5.61E-02 4.44E-02 3.22E-02
  4 16 3.88E-01 3.43E-01 3.08E-01 2.82E-01 2.51E-01 2.29E-01 2.10E-01 1.77E-01 1.42E-01 1.04E-01
  4 17 4.39E-01 3.93E-01 3.71E-01 3.51E-01 3.10E-01 2.80E-01 2.56E-01 2.19E-01 1.77E-01 1.31E-01
  4 18 1.71E-01 2.93E-01 3.99E-01 4.22E-01 3.44E-01 2.55E-01 1.76E-01 1.03E-01 6.64E-02 4.18E-02
  4 19 5.12E-03 7.33E-03 6.44E-03 4.84E-03 2.94E-03 1.89E-03 1.14E-03 5.32E-04 2.86E-04 1.51E-04
  4 20 1.19E-01 1.46E-01 1.61E-01 1.58E-01 1.37E-01 1.20E-01 1.06E-01 8.97E-02 7.26E-02 5.38E-02
  4 21 1.27E-01 1.50E-01 1.55E-01 1.43E-01 1.16E-01 9.74E-02 8.40E-02 6.91E-02 5.57E-02 4.12E-02
  4 22 1.10E-01 1.26E-01 1.36E-01 1.38E-01 1.26E-01 1.13E-01 1.02E-01 8.40E-02 6.68E-02 4.88E-02
  4 23 2.20E-02 2.39E-02 2.42E-02 2.15E-02 1.50E-02 1.02E-02 6.47E-03 3.40E-03 2.06E-03 1.23E-03
  4 24 2.70E-03 5.95E-03 7.38E-03 6.77E-03 4.57E-03 2.99E-03 1.81E-03 8.53E-04 4.66E-04 2.51E-04
  4 25 3.13E-02 3.23E-02 2.86E-02 2.28E-02 1.45E-02 9.41E-03 5.80E-03 2.92E-03 1.72E-03 1.01E-03
  5  6 1.48E-01 1.11E-01 8.39E-02 6.15E-02 3.82E-02 2.58E-02 1.75E-02 1.09E-02 7.58E-03 5.13E-03
  5  7 1.26E-01 9.67E-02 7.86E-02 6.43E-02 4.92E-02 4.08E-02 3.48E-02 2.82E-02 2.24E-02 1.63E-02
  5  8 4.40E-02 3.61E-02 3.10E-02 2.62E-02 2.07E-02 1.78E-02 1.56E-02 1.28E-02 1.03E-02 7.58E-03
  5  9 1.95E-03 2.30E-03 2.34E-03 2.12E-03 1.59E-03 1.16E-03 7.71E-04 4.09E-04 2.46E-04 1.46E-04
  5 10 8.22E-02 7.24E-02 6.84E-02 6.74E-02 6.59E-02 6.36E-02 6.02E-02 5.15E-02 4.11E-02 2.98E-02
  5 11 1.17E-01 1.20E-01 1.18E-01 1.13E-01 9.93E-02 8.91E-02 8.00E-02 6.62E-02 5.25E-02 3.82E-02
  5 12 8.87E-02 7.63E-02 7.14E-02 6.70E-02 5.93E-02 5.32E-02 4.76E-02 3.90E-02 3.08E-02 2.23E-02
  5 13 7.91E-02 7.93E-02 8.20E-02 8.12E-02 7.17E-02 6.26E-02 5.46E-02 4.39E-02 3.43E-02 2.47E-02
  5 14 8.95E-02 9.52E-02 9.94E-02 9.48E-02 7.86E-02 6.71E-02 5.86E-02 4.89E-02 3.96E-02 2.94E-02
  5 15 2.43E-02 2.50E-02 2.28E-02 2.02E-02 1.73E-02 1.54E-02 1.37E-02 1.12E-02 8.74E-03 6.27E-03
  5 16 1.41E-01 1.24E-01 1.10E-01 9.92E-02 8.79E-02 8.07E-02 7.39E-02 6.20E-02 4.94E-02 3.61E-02
  5 17 1.65E-01 1.46E-01 1.38E-01 1.30E-01 1.15E-01 1.04E-01 9.51E-02 8.10E-02 6.52E-02 4.77E-02
  5 18 5.73E-02 9.85E-02 1.34E-01 1.41E-01 1.15E-01 8.48E-02 5.85E-02 3.41E-02 2.19E-02 1.37E-02
  5 19 1.22E-03 1.95E-03 1.72E-03 1.27E-03 7.50E-04 4.88E-04 3.03E-04 1.44E-04 7.72E-05 4.00E-05
  5 20 3.84E-02 4.74E-02 5.26E-02 5.20E-02 4.53E-02 4.00E-02 3.59E-02 3.05E-02 2.49E-02 1.85E-02
  5 21 4.61E-02 5.50E-02 5.70E-02 5.22E-02 4.18E-02 3.48E-02 2.98E-02 2.42E-02 1.92E-02 1.40E-02
  5 22 3.36E-02 3.76E-02 4.10E-02 4.19E-02 3.88E-02 3.51E-02 3.15E-02 2.58E-02 2.02E-02 1.45E-02
  5 23 7.45E-03 8.57E-03 8.60E-03 7.55E-03 5.20E-03 3.54E-03 2.28E-03 1.23E-03 7.59E-04 4.62E-04
  5 24 1.15E-03 2.31E-03 2.84E-03 2.65E-03 1.86E-03 1.24E-03 7.60E-04 3.54E-04 1.89E-04 9.81E-05
  5 25 1.07E-02 1.11E-02 9.85E-03 7.92E-03 5.09E-03 3.34E-03 2.07E-03 1.07E-03 6.38E-04 3.79E-04
  6  7 1.11E+00 1.09E+00 9.83E-01 8.34E-01 5.96E-01 4.44E-01 3.36E-01 2.45E-01 1.87E-01 1.34E-01
  6  8 3.48E-01 3.17E-01 2.77E-01 2.27E-01 1.53E-01 1.08E-01 7.72E-02 5.16E-02 3.76E-02 2.62E-02
  6  9 3.69E-01 3.82E-01 3.94E-01 4.03E-01 3.65E-01 3.16E-01 2.67E-01 2.05E-01 1.62E-01 1.27E-01
  6 10 2.90E-01 2.92E-01 2.83E-01 2.70E-01 2.33E-01 1.98E-01 1.66E-01 1.26E-01 9.89E-02 7.50E-02
  6 11 3.22E-01 2.99E-01 2.74E-01 2.41E-01 1.83E-01 1.42E-01 1.10E-01 7.91E-02 6.14E-02 4.73E-02
  6 12 1.40E+00 1.16E+00 1.06E+00 9.58E-01 7.73E-01 6.39E-01 5.28E-01 4.15E-01 3.43E-01 2.81E-01
  6 13 1.12E+00 9.64E-01 8.88E-01 8.02E-01 6.43E-01 5.27E-01 4.31E-01 3.27E-01 2.57E-01 1.96E-01
  6 14 8.72E-01 7.46E-01 6.70E-01 5.91E-01 4.64E-01 3.77E-01 3.07E-01 2.31E-01 1.79E-01 1.35E-01
  6 15 6.75E-01 6.52E-01 6.03E-01 5.31E-01 4.18E-01 3.42E-01 2.80E-01 2.09E-01 1.61E-01 1.19E-01
  6 16 5.18E-01 4.81E-01 4.22E-01 3.54E-01 2.62E-01 2.04E-01 1.58E-01 1.12E-01 8.56E-02 6.45E-02
  6 17 3.62E-01 3.20E-01 2.73E-01 2.24E-01 1.60E-01 1.20E-01 8.98E-02 6.13E-02 4.54E-02 3.33E-02
  6 18 9.24E-03 2.06E-02 2.44E-02 2.33E-02 1.84E-02 1.31E-02 8.11E-03 3.76E-03 1.98E-03 1.02E-03
  6 19 3.95E-02 4.05E-02 3.67E-02 3.08E-02 2.13E-02 1.47E-02 9.28E-03 4.63E-03 2.65E-03 1.51E-03
  6 20 2.69E-01 3.45E-01 3.68E-01 3.54E-01 2.95E-01 2.46E-01 2.05E-01 1.64E-01 1.35E-01 1.10E-01
  6 21 1.53E-01 1.93E-01 2.04E-01 1.98E-01 1.66E-01 1.40E-01 1.17E-01 9.13E-02 7.24E-02 5.50E-02
  6 22 3.35E-01 4.51E-01 4.82E-01 4.60E-01 3.73E-01 3.01E-01 2.44E-01 1.90E-01 1.58E-01 1.31E-01
