Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
 18852.500   4  5.908E+01  0.000E+00
*** Fe XIV      'Energy and transition probability data'
*** SOURCE1	'Sugar, J. & Corliss, C. 1985, J. Phys. Chem. Ref. Data 14, Suppl. 2, 1'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Aggarwal, K. M. & Keenan, F. P. 2014, Mon. Not. R. Astron. Soc. 445, 2015'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
