Energy Stat_Weight Aij
      cm-1 none    1/s        1/s
     0.000   2  0.000E+00  0.000E+00
  3134.280   4  2.760E-01  0.000E+00
*** K VII       'Energy and transition probability data'
*** SOURCE1	'Sansonetti, J. E. 2008, J. Phys. Chem. Ref. Data 37, 7'
*** NOTE1 	'Energy levels 3s2.3p1 2P*'
*** SOURCE2	'Sansonetti, J. E. 2008, J. Phys. Chem. Ref. Data 37, 7; see E. FroeseF 2006'
*** NOTE2	'Transition Probabilities, Aij' 
*** GSCONFIG 3p1
